id	item_group_id	title	c:title_NO:string	c:sku:string	brand	color	c:retail_price_NOK:integer	c:discount_retail_price_NOK:integer	description	c:description_NO:string	size	gender	c:season_tag:string	gtin	c:stock_level:integer	image_link	additional_image_link	material	washing	madein	product_type	hs_code
932045_2188100	932045	Jakke - Black	Jakke - Black	VEROMO-6781-4512_14	Vero Moda	Svart	20000	20000			S				10000	https://retailhub-cdn.azureedge.net/test-pictures/3313566_jacket-1_1000.jpeg						
932045_2188102	932045	Jakke - Black	Jakke - Black	VEROMO-6781-4512_14	Vero Moda	Svart	20000	20000			L				5	https://retailhub-cdn.azureedge.net/test-pictures/3313566_jacket-1_1000.jpeg						
932045_2188103	932045	Jakke - Black	Jakke - Black	VEROMO-6781-4512_14	Vero Moda	Svart	20000	20000			XL				10000	https://retailhub-cdn.azureedge.net/test-pictures/3313566_jacket-1_1000.jpeg						
931477_2187232	931477	NEW FLEXIBLE PRODUCT	NEW FLEXIBLE PRODUCT	VEROMO-5621-7834_14	Vero Moda	Grønn	40095	40095			S				8	https://retailhub-cdn.azureedge.net/test-pictures/3307610_new-flexible-product_1000.jpeg						
931477_2187233	931477	NEW FLEXIBLE PRODUCT	NEW FLEXIBLE PRODUCT	VEROMO-5621-7834_14	Vero Moda	Grønn	40095	40095			M				82	https://retailhub-cdn.azureedge.net/test-pictures/3307610_new-flexible-product_1000.jpeg						
15867	3046	VMKITHY HIGHWAIST JEANS - ROSA / SHOCKING PINK	VMKITHY HIGHWAIST JEANS - ROSA / SHOCKING PINK	VEROMO-103044-SHOCKING-PINK_14	Vero Moda	Rosa	59900	59900	"Jeans til dame- rett fra hofte til ankel er en av sesongens største jeanstrender!- denne jeansen er en ""GO TO"" i garderoben- rette jeans- høy i midjen- 5-lommersstil- knapp og glidelåslukking- løs passform
Navn: vmKithy hr loose str colorStylnummer: 10271003
Inneholder: 100% bomull"	"Jeans til dame- rett fra hofte til ankel er en av sesongens største jeanstrender!- denne jeansen er en ""GO TO"" i garderoben- rette jeans- høy i midjen- 5-lommersstil- knapp og glidelåslukking- løs passform
Navn: vmKithy hr loose str colorStylnummer: 10271003
Inneholder: 100% bomull"	26/32			5715305528160	2	https://retailhub-cdn.azureedge.net/test-pictures/3301314_vmkithy-highwaist-jeans-rosa-shocking-pink_1000.jpeg	https://retailhub-cdn.azureedge.net/test-pictures/3301315_vmkithy-highwaist-jeans-rosa-shocking-pink_1000.jpeg,https://retailhub-cdn.azureedge.net/test-pictures/3301316_vmkithy-highwaist-jeans-rosa-shocking-pink_1000.jpg					
15868	3046	VMKITHY HIGHWAIST JEANS - ROSA / SHOCKING PINK	VMKITHY HIGHWAIST JEANS - ROSA / SHOCKING PINK	VEROMO-103044-SHOCKING-PINK_14	Vero Moda	Rosa	59900	59900	"Jeans til dame- rett fra hofte til ankel er en av sesongens største jeanstrender!- denne jeansen er en ""GO TO"" i garderoben- rette jeans- høy i midjen- 5-lommersstil- knapp og glidelåslukking- løs passform
Navn: vmKithy hr loose str colorStylnummer: 10271003
Inneholder: 100% bomull"	"Jeans til dame- rett fra hofte til ankel er en av sesongens største jeanstrender!- denne jeansen er en ""GO TO"" i garderoben- rette jeans- høy i midjen- 5-lommersstil- knapp og glidelåslukking- løs passform
Navn: vmKithy hr loose str colorStylnummer: 10271003
Inneholder: 100% bomull"	27/32			5715305528177	2	https://retailhub-cdn.azureedge.net/test-pictures/3301314_vmkithy-highwaist-jeans-rosa-shocking-pink_1000.jpeg	https://retailhub-cdn.azureedge.net/test-pictures/3301315_vmkithy-highwaist-jeans-rosa-shocking-pink_1000.jpeg,https://retailhub-cdn.azureedge.net/test-pictures/3301316_vmkithy-highwaist-jeans-rosa-shocking-pink_1000.jpg					
15869	3046	VMKITHY HIGHWAIST JEANS - ROSA / SHOCKING PINK	VMKITHY HIGHWAIST JEANS - ROSA / SHOCKING PINK	VEROMO-103044-SHOCKING-PINK_14	Vero Moda	Rosa	59900	59900	"Jeans til dame- rett fra hofte til ankel er en av sesongens største jeanstrender!- denne jeansen er en ""GO TO"" i garderoben- rette jeans- høy i midjen- 5-lommersstil- knapp og glidelåslukking- løs passform
Navn: vmKithy hr loose str colorStylnummer: 10271003
Inneholder: 100% bomull"	"Jeans til dame- rett fra hofte til ankel er en av sesongens største jeanstrender!- denne jeansen er en ""GO TO"" i garderoben- rette jeans- høy i midjen- 5-lommersstil- knapp og glidelåslukking- løs passform
Navn: vmKithy hr loose str colorStylnummer: 10271003
Inneholder: 100% bomull"	28/32			5715305528184	3	https://retailhub-cdn.azureedge.net/test-pictures/3301314_vmkithy-highwaist-jeans-rosa-shocking-pink_1000.jpeg	https://retailhub-cdn.azureedge.net/test-pictures/3301315_vmkithy-highwaist-jeans-rosa-shocking-pink_1000.jpeg,https://retailhub-cdn.azureedge.net/test-pictures/3301316_vmkithy-highwaist-jeans-rosa-shocking-pink_1000.jpg					
15870	3046	VMKITHY HIGHWAIST JEANS - ROSA / SHOCKING PINK	VMKITHY HIGHWAIST JEANS - ROSA / SHOCKING PINK	VEROMO-103044-SHOCKING-PINK_14	Vero Moda	Rosa	59900	59900	"Jeans til dame- rett fra hofte til ankel er en av sesongens største jeanstrender!- denne jeansen er en ""GO TO"" i garderoben- rette jeans- høy i midjen- 5-lommersstil- knapp og glidelåslukking- løs passform
Navn: vmKithy hr loose str colorStylnummer: 10271003
Inneholder: 100% bomull"	"Jeans til dame- rett fra hofte til ankel er en av sesongens største jeanstrender!- denne jeansen er en ""GO TO"" i garderoben- rette jeans- høy i midjen- 5-lommersstil- knapp og glidelåslukking- løs passform
Navn: vmKithy hr loose str colorStylnummer: 10271003
Inneholder: 100% bomull"	29/32			5715305528191	2	https://retailhub-cdn.azureedge.net/test-pictures/3301314_vmkithy-highwaist-jeans-rosa-shocking-pink_1000.jpeg	https://retailhub-cdn.azureedge.net/test-pictures/3301315_vmkithy-highwaist-jeans-rosa-shocking-pink_1000.jpeg,https://retailhub-cdn.azureedge.net/test-pictures/3301316_vmkithy-highwaist-jeans-rosa-shocking-pink_1000.jpg					
15871	3046	VMKITHY HIGHWAIST JEANS - ROSA / SHOCKING PINK	VMKITHY HIGHWAIST JEANS - ROSA / SHOCKING PINK	VEROMO-103044-SHOCKING-PINK_14	Vero Moda	Rosa	59900	59900	"Jeans til dame- rett fra hofte til ankel er en av sesongens største jeanstrender!- denne jeansen er en ""GO TO"" i garderoben- rette jeans- høy i midjen- 5-lommersstil- knapp og glidelåslukking- løs passform
Navn: vmKithy hr loose str colorStylnummer: 10271003
Inneholder: 100% bomull"	"Jeans til dame- rett fra hofte til ankel er en av sesongens største jeanstrender!- denne jeansen er en ""GO TO"" i garderoben- rette jeans- høy i midjen- 5-lommersstil- knapp og glidelåslukking- løs passform
Navn: vmKithy hr loose str colorStylnummer: 10271003
Inneholder: 100% bomull"	30/32			5715305528207	2	https://retailhub-cdn.azureedge.net/test-pictures/3301314_vmkithy-highwaist-jeans-rosa-shocking-pink_1000.jpeg	https://retailhub-cdn.azureedge.net/test-pictures/3301315_vmkithy-highwaist-jeans-rosa-shocking-pink_1000.jpeg,https://retailhub-cdn.azureedge.net/test-pictures/3301316_vmkithy-highwaist-jeans-rosa-shocking-pink_1000.jpg					
